SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	244	3186	10	0	0	0	0
6/22/2022 3:43:21 AM	244	3186	10	0	0	0	0
6/22/2022 3:53:20 AM	245	3187	10	0	0	0	0
6/22/2022 3:56:09 AM	246	3188	10	0	0	0	0
6/22/2022 4:09:43 AM	247	3189	10	0	0	0	0
6/22/2022 4:12:26 AM	248	3190	10	0	0	0	0
6/22/2022 4:19:32 AM	249	3191	10	0	0	0	0
6/22/2022 4:21:27 AM	249	3191	10	0	0	0	0
6/22/2022 4:28:55 AM	249	3191	10	0	0	0	0
6/22/2022 4:30:22 AM	249	3191	10	0	0	0	0
6/22/2022 4:34:46 AM	249	3191	10	0	0	0	0
6/22/2022 4:36:48 AM	249	3191	10	0	0	0	0
6/22/2022 4:39:47 AM	249	3191	10	0	0	0	0
6/22/2022 5:06:24 AM	249	3191	10	0	0	0	0
6/22/2022 5:22:19 AM	248	3191	10	0	0	0	0
6/22/2022 6:37:10 AM	251	3194	10	0	0	0	0
