SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	185	1791	84	0	0	5	1
6/22/2022 3:43:21 AM	185	1791	84	0	0	5	1
6/22/2022 3:53:20 AM	185	1791	84	0	0	5	1
6/22/2022 3:56:09 AM	185	1791	84	0	0	5	1
6/22/2022 4:09:43 AM	184	1791	84	0	0	5	1
6/22/2022 4:12:26 AM	184	1791	84	0	0	5	1
6/22/2022 4:19:32 AM	184	1791	84	0	0	5	1
6/22/2022 4:21:27 AM	184	1791	84	0	0	5	1
6/22/2022 4:28:55 AM	184	1791	84	0	0	5	1
6/22/2022 4:30:22 AM	184	1791	84	0	0	5	1
6/22/2022 4:34:46 AM	184	1791	84	0	0	5	1
