SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	12845	2090746	37955	0	0	2.8895235	31165
6/22/2022 3:43:21 AM	12852	2090757	37955	0	0	2.8895235	31165
6/22/2022 3:53:20 AM	12855	2090769	37955	0	0	2.8895912	31166
6/22/2022 3:56:09 AM	12859	2090778	37955	0	0	2.8895912	31166
6/22/2022 4:09:43 AM	12873	2090803	37955	0	0	2.8895912	31166
6/22/2022 4:12:26 AM	12873	2090810	37955	0	0	2.8895912	31166
6/22/2022 4:19:32 AM	12878	2090819	37955	0	0	2.8895912	31166
6/22/2022 4:21:27 AM	12886	2090833	37955	0	0	2.8895912	31166
6/22/2022 4:28:55 AM	12891	2090842	37955	0	0	2.8895912	31166
6/22/2022 4:30:22 AM	12893	2090847	37955	0	0	2.8895912	31166
6/22/2022 4:34:46 AM	12903	2090863	37955	0	0	2.8895912	31166
6/22/2022 4:36:48 AM	12903	2090864	37955	0	0	2.8895912	31166
6/22/2022 4:39:47 AM	12902	2090864	37955	0	0	2.8895912	31166
6/22/2022 5:06:24 AM	12922	2090915	37955	0	0	2.8895912	31166
6/22/2022 5:22:19 AM	12920	2090925	37956	0	0	2.8895912	31166
6/22/2022 6:37:10 AM	12929	2091012	37957	0	0	2.8896945	31168
6/22/2022 6:39:13 AM	12928	2091015	37957	0	0	2.8896945	31168
6/22/2022 6:42:47 AM	12928	2091018	37957	0	0	2.8896945	31168
6/22/2022 6:53:25 AM	12923	2091024	37957	0	0	2.8896945	31168
6/22/2022 7:05:11 AM	12918	2091031	37957	0	0	2.8896945	31168
6/22/2022 7:48:38 AM	12896	2091056	37958	0	0	2.8896945	31168
6/22/2022 8:06:05 AM	12885	2091064	37958	0	0	2.8896945	31168
6/22/2022 8:52:22 AM	12865	2091087	37958	0	0	2.8896945	31168
6/22/2022 9:04:32 AM	12858	2091092	37958	0	0	2.8896945	31168
6/22/2022 9:48:35 AM	12821	2091105	37958	0	0	2.889659	31167
6/22/2022 10:05:13 AM	12814	2091111	37959	0	0	2.889659	31167
6/22/2022 10:53:08 AM	12778	2091129	37959	0	0	2.889659	31167
6/22/2022 11:04:59 AM	12774	2091132	37960	0	0	2.889659	31167
6/22/2022 11:50:00 AM	12743	2091150	37961	0	0	2.889659	31167
6/22/2022 12:07:16 PM	12735	2091160	37961	0	0	2.8896945	31168
6/22/2022 1:01:17 PM	12705	2091184	37961	0	0	2.8896945	31168
6/22/2022 1:55:21 PM	12679	2091217	37962	0	0	2.8897016	31170
6/22/2022 2:04:43 PM	12675	2091222	37962	0	0	2.8897016	31170
6/22/2022 2:49:48 PM	12650	2091245	37963	0	0	2.8897693	31171
6/22/2022 3:05:38 PM	12649	2091258	37963	0	0	2.8897693	31171
6/22/2022 3:49:47 PM	12638	2091292	37964	0	0	2.889616	31173
6/22/2022 4:04:48 PM	12632	2091301	37964	0	0	2.889616	31173
6/22/2022 4:08:41 PM	12631	2091303	37964	0	0	2.889616	31173
6/22/2022 4:17:23 PM	12625	2091310	37964	0	0	2.889616	31173
6/22/2022 4:27:09 PM	12629	2091324	37964	0	0	2.889616	31173
6/22/2022 4:28:21 PM	12629	2091321	37964	0	0	2.889616	31173
6/22/2022 4:36:30 PM	12626	2091331	37964	0	0	2.889616	31173
6/22/2022 4:38:37 PM	12626	2091331	37964	0	0	2.889616	31173
6/22/2022 4:56:32 PM	12626	2091350	37964	0	0	2.889616	31173
6/22/2022 5:10:38 PM	12624	2091364	37966	0	0	2.889591	31175
6/22/2022 5:51:23 PM	12629	2091410	37967	0	0	2.889591	31175
