SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	2335	9589	13	0	0	0	0
6/22/2022 3:43:21 AM	2335	9590	13	0	0	0	0
6/22/2022 3:53:20 AM	2338	9595	13	0	0	0	0
6/22/2022 3:56:09 AM	2339	9597	13	0	0	0	0
6/22/2022 4:09:43 AM	2344	9604	13	0	0	0	0
6/22/2022 4:12:26 AM	2345	9606	13	0	0	0	0
6/22/2022 4:19:32 AM	2346	9608	13	0	0	0	0
6/22/2022 4:21:27 AM	2346	9609	13	0	0	0	0
6/22/2022 4:28:55 AM	2347	9611	13	0	0	0	0
6/22/2022 4:30:22 AM	2347	9612	13	0	0	0	0
