SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	78	586	2	0	0	5	1
6/22/2022 3:43:21 AM	78	586	2	0	0	5	1
6/22/2022 3:53:20 AM	78	586	2	0	0	5	1
6/22/2022 3:56:09 AM	78	586	2	0	0	5	1
6/22/2022 4:09:43 AM	79	587	2	0	0	5	1
6/22/2022 4:12:26 AM	79	587	2	0	0	5	1
6/22/2022 4:19:32 AM	79	587	2	0	0	5	1
6/22/2022 4:21:27 AM	79	587	2	0	0	5	1
6/22/2022 4:28:55 AM	79	587	2	0	0	5	1
6/22/2022 4:30:22 AM	79	587	2	0	0	5	1
6/22/2022 4:34:46 AM	79	587	2	0	0	5	1
6/22/2022 4:36:48 AM	79	587	2	0	0	5	1
6/22/2022 4:39:47 AM	79	587	2	0	0	5	1
