SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	220	1293	2	0	0	0	0
6/22/2022 3:43:21 AM	221	1294	2	0	0	0	0
6/22/2022 3:53:20 AM	223	1296	2	0	0	0	0
6/22/2022 3:56:09 AM	223	1296	2	0	0	0	0
6/22/2022 4:09:43 AM	225	1298	2	0	0	0	0
6/22/2022 4:12:26 AM	225	1299	2	0	0	0	0
6/22/2022 4:19:32 AM	225	1299	2	0	0	0	0
6/22/2022 4:21:27 AM	225	1299	2	0	0	0	0
6/22/2022 4:28:55 AM	225	1299	2	0	0	0	0
6/22/2022 4:30:22 AM	225	1299	2	0	0	0	0
6/22/2022 4:34:46 AM	225	1299	2	0	0	0	0
6/22/2022 4:36:48 AM	225	1299	2	0	0	0	0
6/22/2022 4:39:47 AM	225	1299	2	0	0	0	0
6/22/2022 5:06:24 AM	226	1301	2	0	0	0	0
6/22/2022 5:22:19 AM	227	1302	2	0	0	0	0
6/22/2022 6:37:10 AM	226	1303	2	0	0	0	0
6/22/2022 6:39:13 AM	226	1303	2	0	0	0	0
6/22/2022 6:42:47 AM	226	1303	2	0	0	0	0
6/22/2022 6:53:25 AM	226	1303	2	0	0	0	0
6/22/2022 7:05:11 AM	225	1303	2	0	0	0	0
6/22/2022 7:48:38 AM	224	1303	2	0	0	0	0
6/22/2022 8:06:05 AM	224	1303	2	0	0	0	0
6/22/2022 8:52:22 AM	223	1303	2	0	0	0	0
6/22/2022 9:04:32 AM	222	1303	2	0	0	0	0
6/22/2022 9:48:35 AM	221	1303	2	0	0	0	0
6/22/2022 10:05:13 AM	221	1303	2	0	0	0	0
6/22/2022 10:53:08 AM	223	1306	2	0	0	0	0
6/22/2022 11:04:59 AM	222	1306	2	0	0	0	0
6/22/2022 11:50:00 AM	221	1306	2	0	0	0	0
6/22/2022 12:07:16 PM	221	1306	2	0	0	0	0
6/22/2022 1:01:17 PM	222	1308	2	0	0	0	0
