SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	47772	8527070	14388	0	0	2.2906976	19694
6/22/2022 3:43:21 AM	47797	8527113	14388	0	0	2.2906976	19694
6/22/2022 3:53:20 AM	47831	8527181	14388	0	0	2.2906976	19694
6/22/2022 3:56:09 AM	47858	8527229	14388	0	0	2.2906976	19694
6/22/2022 4:09:43 AM	47925	8527341	14388	0	0	2.2906976	19694
6/22/2022 4:12:26 AM	47947	8527391	14388	0	0	2.2906976	19694
6/22/2022 4:19:32 AM	47964	8527424	14388	0	0	2.2906976	19694
6/22/2022 4:21:27 AM	47995	8527477	14388	0	0	2.2906976	19694
6/22/2022 4:28:55 AM	48020	8527520	14388	0	0	2.2906976	19694
6/22/2022 4:30:22 AM	48029	8527538	14388	0	0	2.2906976	19694
6/22/2022 4:34:46 AM	48058	8527593	14388	0	0	2.2906976	19694
6/22/2022 4:36:48 AM	48063	8527602	14388	0	0	2.2906976	19694
