SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	48884	10190964	87613	0	0	2.3729694	78607
6/22/2022 3:43:21 AM	48902	10190996	87613	0	0	2.3729694	78607
6/22/2022 3:53:20 AM	48951	10191078	87613	0	0	2.3729694	78607
6/22/2022 3:56:09 AM	48982	10191130	87613	0	0	2.3729694	78607
6/22/2022 4:09:43 AM	49036	10191228	87613	0	0	2.3729694	78607
6/22/2022 4:12:26 AM	49064	10191277	87613	0	0	2.3729694	78607
6/22/2022 4:19:32 AM	49086	10191322	87613	0	0	2.3729694	78607
6/22/2022 4:21:27 AM	49108	10191366	87613	0	0	2.3729694	78607
6/22/2022 4:28:55 AM	49120	10191395	87612	0	0	2.3729694	78607
6/22/2022 4:30:22 AM	49136	10191421	87612	0	0	2.3729694	78607
6/22/2022 4:34:46 AM	49160	10191468	87612	0	0	2.3729694	78607
6/22/2022 4:36:48 AM	49162	10191476	87612	0	0	2.3729694	78607
6/22/2022 4:39:47 AM	49173	10191504	87612	0	0	2.3729694	78607
6/22/2022 5:06:24 AM	49262	10191700	87612	0	0	2.3729694	78607
6/22/2022 5:22:19 AM	49282	10191767	87612	0	0	2.3729694	78607
6/22/2022 6:37:10 AM	49375	10192167	87613	0	0	2.3730028	78608
6/22/2022 6:39:13 AM	49377	10192184	87613	0	0	2.3730028	78608
6/22/2022 6:42:47 AM	49375	10192192	87613	0	0	2.3730028	78608
6/22/2022 6:53:25 AM	49369	10192230	87613	0	0	2.3730028	78608
6/22/2022 7:05:11 AM	49364	10192271	87613	0	0	2.3730028	78608
6/22/2022 7:48:38 AM	49316	10192408	87615	0	0	2.3730028	78608
6/22/2022 8:06:05 AM	49284	10192447	87615	0	0	2.3730028	78608
