SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	626683	1847097	1839	0	0	3.0586612	1449
6/22/2022 3:43:21 AM	626450	1847182	1839	0	0	3.0586612	1449
6/22/2022 3:53:20 AM	625868	1847401	1839	0	0	3.0586612	1449
6/22/2022 3:56:09 AM	625501	1847526	1839	0	0	3.0586612	1449
6/22/2022 4:09:43 AM	624704	1847775	1839	0	0	3.0586612	1449
6/22/2022 4:12:26 AM	624324	1847888	1839	0	0	3.0586612	1449
6/22/2022 4:19:32 AM	623908	1848013	1839	0	0	3.0586612	1449
6/22/2022 4:21:27 AM	623503	1848128	1839	0	0	3.0586612	1449
6/22/2022 4:28:55 AM	623196	1848234	1839	0	0	3.0586612	1449
6/22/2022 4:30:22 AM	623014	1848276	1839	0	0	3.0586612	1449
6/22/2022 4:34:46 AM	622548	1848407	1839	0	0	3.0586612	1449
6/22/2022 4:36:48 AM	622464	1848430	1839	0	0	3.0586612	1449
6/22/2022 4:39:47 AM	622423	1848443	1839	0	0	3.0586612	1449
6/22/2022 5:06:24 AM	620101	1848999	1839	0	0	3.0586612	1449
6/22/2022 5:22:19 AM	619184	1849193	1839	0	0	3.0586612	1449
6/22/2022 6:37:10 AM	612849	1850148	1839	0	0	3.0586612	1449
6/22/2022 6:39:13 AM	612533	1850181	1839	0	0	3.0586612	1449
6/22/2022 6:42:47 AM	612257	1850214	1839	0	0	3.0586612	1449
6/22/2022 6:53:25 AM	611379	1850305	1839	0	0	3.0586612	1449
6/22/2022 7:05:11 AM	610323	1850407	1839	0	0	3.0586612	1449
6/22/2022 7:48:38 AM	606296	1850713	1839	0	0	3.0586612	1449
6/22/2022 8:06:05 AM	604708	1850805	1841	0	0	3.06	1450
6/22/2022 8:52:22 AM	600795	1851037	1841	0	0	3.06	1450
6/22/2022 9:04:32 AM	599762	1851089	1841	0	0	3.06	1450
6/22/2022 9:48:35 AM	595341	1851300	1841	0	0	3.06	1450
6/22/2022 10:05:13 AM	594187	1851353	1841	0	0	3.06	1450
6/22/2022 10:53:08 AM	589461	1851560	1841	0	0	3.06	1450
6/22/2022 11:04:59 AM	588707	1851590	1841	0	0	3.06	1450
6/22/2022 11:50:00 AM	584302	1851799	1841	0	0	3.06	1450
6/22/2022 12:07:16 PM	582780	1851868	1841	0	0	3.06	1450
6/22/2022 1:01:17 PM	577985	1852130	1841	0	0	3.06	1450
6/22/2022 1:55:21 PM	572836	1852485	1841	0	0	3.06	1450
6/22/2022 2:04:43 PM	572210	1852534	1841	0	0	3.06	1450
6/22/2022 2:49:48 PM	568116	1852867	1841	0	0	3.06	1450
6/22/2022 3:05:38 PM	566789	1852983	1841	0	0	3.0606477	1451
6/22/2022 3:49:47 PM	562944	1853364	1842	0	0	3.0606477	1451
6/22/2022 4:04:48 PM	561707	1853502	1842	0	0	3.0606477	1451
