SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	59615	10537863	30440	0	0	3.871859	21133
6/22/2022 3:43:21 AM	59643	10537914	30440	0	0	3.871859	21133
6/22/2022 3:53:20 AM	59691	10538004	30440	0	0	3.871859	21133
6/22/2022 3:56:09 AM	59713	10538053	30440	0	0	3.871859	21133
6/22/2022 4:09:43 AM	59765	10538160	30441	0	0	3.8718178	21134
6/22/2022 4:12:26 AM	59793	10538223	30441	0	0	3.8718178	21134
6/22/2022 4:19:32 AM	59812	10538262	30441	0	0	3.8718178	21134
6/22/2022 4:21:27 AM	59820	10538298	30441	0	0	3.8718178	21134
6/22/2022 4:28:55 AM	59842	10538342	30441	0	0	3.8718178	21134
6/22/2022 4:30:22 AM	59854	10538365	30441	0	0	3.8718178	21134
6/22/2022 4:34:46 AM	59891	10538434	30441	0	0	3.8718178	21134
6/22/2022 4:36:48 AM	59894	10538443	30441	0	0	3.8718178	21134
6/22/2022 4:39:47 AM	59897	10538449	30441	0	0	3.8718178	21134
