SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	25193	10219693	52096	0	0	3.0479937	43360
6/22/2022 3:43:21 AM	25212	10219725	52096	0	0	3.0480156	43361
6/22/2022 3:53:20 AM	25230	10219761	52096	0	0	3.0480156	43361
6/22/2022 3:56:09 AM	25237	10219779	52096	0	0	3.0480156	43361
6/22/2022 4:09:43 AM	25258	10219823	52096	0	0	3.0480156	43361
6/22/2022 4:12:26 AM	25268	10219848	52096	0	0	3.0480156	43361
6/22/2022 4:19:32 AM	25274	10219863	52096	0	0	3.0480156	43361
6/22/2022 4:21:27 AM	25289	10219889	52096	0	0	3.0480156	43361
6/22/2022 4:28:55 AM	25295	10219905	52096	0	0	3.0480156	43361
6/22/2022 4:30:22 AM	25297	10219912	52096	0	0	3.0480156	43361
6/22/2022 4:34:46 AM	25304	10219924	52096	0	0	3.0480156	43361
6/22/2022 4:36:48 AM	25306	10219936	52096	0	0	3.0480156	43361
6/22/2022 4:39:47 AM	25305	10219937	52096	0	0	3.0480156	43361
6/22/2022 5:06:24 AM	25345	10220041	52096	0	0	3.0480604	43362
6/22/2022 5:22:19 AM	25362	10220083	52096	0	0	3.0480604	43362
6/22/2022 6:37:10 AM	25377	10220262	52098	0	0	3.0480824	43363
6/22/2022 6:39:13 AM	25379	10220272	52098	0	0	3.0480824	43363
6/22/2022 6:42:47 AM	25380	10220278	52098	0	0	3.0480824	43363
6/22/2022 6:53:25 AM	25379	10220300	52098	0	0	3.0480824	43363
6/22/2022 7:05:11 AM	25371	10220324	52098	0	0	3.0480824	43363
6/22/2022 7:48:38 AM	25331	10220376	52098	0	0	3.0480824	43363
6/22/2022 8:06:05 AM	25313	10220395	52098	0	0	3.0480824	43363
6/22/2022 8:52:22 AM	25255	10220431	52100	0	0	3.0480123	43364
6/22/2022 9:04:32 AM	25243	10220443	52100	0	0	3.0480123	43364
6/22/2022 9:48:35 AM	25181	10220485	52103	0	0	3.0480123	43364
6/22/2022 10:05:13 AM	25168	10220499	52104	0	0	3.0480123	43364
6/22/2022 10:53:08 AM	25100	10220544	52104	0	0	3.0480123	43364
6/22/2022 11:04:59 AM	25096	10220555	52104	0	0	3.0480123	43364
6/22/2022 11:50:00 AM	25038	10220601	52104	0	0	3.0480123	43364
6/22/2022 12:07:16 PM	25022	10220621	52104	0	0	3.0480123	43364
6/22/2022 1:01:17 PM	24970	10220682	52105	0	0	3.0480123	43364
6/22/2022 1:55:21 PM	24945	10220781	52107	0	0	3.0480123	43364
6/22/2022 2:04:43 PM	24940	10220791	52107	0	0	3.0480342	43365
6/22/2022 2:49:48 PM	24921	10220875	52107	0	0	3.0480342	43365
6/22/2022 3:05:38 PM	24917	10220900	52110	0	0	3.0480342	43365
6/22/2022 3:49:47 PM	24922	10221000	52111	0	0	3.0480342	43365
6/22/2022 4:04:48 PM	24929	10221035	52111	0	0	3.0479858	43367
6/22/2022 4:08:41 PM	24929	10221045	52111	0	0	3.0479858	43367
6/22/2022 4:17:23 PM	24927	10221069	52111	0	0	3.0479858	43367
6/22/2022 4:27:09 PM	24932	10221095	52113	0	0	3.0479858	43367
6/22/2022 4:28:21 PM	24929	10221086	52113	0	0	3.0479858	43367
6/22/2022 4:36:30 PM	24931	10221115	52113	0	0	3.0479858	43367
6/22/2022 4:38:37 PM	24932	10221112	52113	0	0	3.0479858	43367
6/22/2022 4:56:32 PM	24939	10221156	52113	0	0	3.0479858	43367
6/22/2022 5:10:38 PM	24951	10221208	52113	0	0	3.0480077	43368
6/22/2022 5:51:23 PM	24988	10221330	52115	0	0	3.0480077	43368
6/22/2022 6:06:06 PM	25006	10221379	52117	0	0	3.0480077	43368
