SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	16217	3133034	1288	1	0	3.3412163	888
6/22/2022 3:43:21 AM	16216	3133038	1288	1	0	3.3412163	888
6/22/2022 3:53:20 AM	16232	3133070	1288	1	0	3.3412163	888
6/22/2022 3:56:09 AM	16233	3133072	1288	1	0	3.3412163	888
6/22/2022 4:09:43 AM	16231	3133084	1288	1	0	3.3412163	888
6/22/2022 4:12:26 AM	16234	3133096	1288	1	0	3.3412163	888
6/22/2022 4:19:32 AM	16235	3133103	1288	1	0	3.3412163	888
6/22/2022 4:21:27 AM	16238	3133113	1288	1	0	3.3412163	888
6/22/2022 4:28:55 AM	16243	3133123	1288	1	0	3.3412163	888
6/22/2022 4:30:22 AM	16244	3133127	1288	1	0	3.3412163	888
6/22/2022 4:34:46 AM	16247	3133139	1288	1	0	3.3412163	888
6/22/2022 4:36:48 AM	16248	3133141	1288	1	0	3.3412163	888
6/22/2022 4:39:47 AM	16247	3133141	1288	1	0	3.3412163	888
6/22/2022 5:06:24 AM	16255	3133188	1288	1	0	3.3412163	888
6/22/2022 5:22:19 AM	16264	3133212	1288	1	0	3.3412163	888
6/22/2022 6:37:10 AM	16254	3133300	1288	1	0	3.3412163	888
6/22/2022 6:39:13 AM	16250	3133302	1288	1	0	3.3412163	888
6/22/2022 6:42:47 AM	16251	3133308	1288	1	0	3.3412163	888
6/22/2022 6:53:25 AM	16245	3133315	1288	1	0	3.3412163	888
6/22/2022 7:05:11 AM	16241	3133326	1288	1	0	3.3412163	888
