SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	203378	19830242	3313	0	0	3.3819711	2851
6/22/2022 3:43:21 AM	203394	19830333	3313	0	0	3.3819711	2851
6/22/2022 3:53:20 AM	203405	19830543	3313	0	0	3.3819711	2851
6/22/2022 3:56:09 AM	203437	19830696	3313	0	0	3.3819711	2851
6/22/2022 4:09:43 AM	203455	19830969	3313	0	0	3.3819711	2851
6/22/2022 4:12:26 AM	203461	19831096	3313	0	0	3.3819711	2851
6/22/2022 4:19:32 AM	203480	19831248	3313	0	0	3.3819711	2851
6/22/2022 4:21:27 AM	203487	19831316	3313	0	0	3.3819711	2851
6/22/2022 4:28:55 AM	203483	19831479	3313	0	0	3.3819711	2851
6/22/2022 4:30:22 AM	203472	19831523	3313	0	0	3.3819711	2851
6/22/2022 4:34:46 AM	203466	19831575	3313	0	0	3.3819711	2851
6/22/2022 4:36:48 AM	203493	19831716	3313	0	0	3.3819711	2851
6/22/2022 4:39:47 AM	203487	19831809	3313	0	0	3.3819711	2851
6/22/2022 5:06:24 AM	203405	19832346	3313	0	0	3.3819711	2851
6/22/2022 5:22:19 AM	203333	19832569	3313	0	0	3.3819711	2851
6/22/2022 6:37:10 AM	202643	19833640	3314	0	0	3.3819711	2851
6/22/2022 6:39:13 AM	202594	19833677	3314	0	0	3.3819711	2851
6/22/2022 6:42:47 AM	202558	19833699	3314	0	0	3.3819711	2851
6/22/2022 6:53:25 AM	202408	19833804	3314	0	0	3.3819711	2851
6/22/2022 7:05:11 AM	202241	19833920	3314	0	0	3.3819711	2851
6/22/2022 7:48:38 AM	201520	19834260	3314	0	0	3.3819711	2851
6/22/2022 8:06:05 AM	201208	19834359	3314	0	0	3.3819711	2851
6/22/2022 8:52:22 AM	200330	19834585	3314	0	0	3.3819711	2851
6/22/2022 9:04:32 AM	200192	19834623	3314	0	0	3.3819711	2851
6/22/2022 9:48:35 AM	199299	19834864	3314	0	0	3.3819711	2851
6/22/2022 10:05:13 AM	199048	19834909	3314	0	0	3.3819711	2851
6/22/2022 10:53:08 AM	198048	19835116	3314	0	0	3.3819711	2851
6/22/2022 11:04:59 AM	197889	19835149	3314	0	0	3.3819711	2851
6/22/2022 11:50:00 AM	196950	19835339	3314	0	0	3.3819711	2851
6/22/2022 12:07:16 PM	196630	19835409	3314	0	0	3.3819711	2851
6/22/2022 1:01:17 PM	195656	19835673	3314	0	0	3.3819711	2851
6/22/2022 1:55:21 PM	194629	19835993	3314	0	0	3.3819711	2851
6/22/2022 2:04:43 PM	194517	19836046	3314	0	0	3.3819711	2851
6/22/2022 2:49:48 PM	193767	19836416	3314	0	0	3.3819711	2851
6/22/2022 3:05:38 PM	193556	19836522	3314	0	0	3.3819711	2851
6/22/2022 3:49:47 PM	192905	19836906	3314	0	0	3.3819711	2851
6/22/2022 4:04:48 PM	192693	19837030	3314	0	0	3.3819711	2851
6/22/2022 4:08:41 PM	192606	19837079	3314	0	0	3.3819711	2851
6/22/2022 4:17:23 PM	192482	19837187	3314	0	0	3.3819711	2851
6/22/2022 4:27:09 PM	192367	19837303	3314	0	0	3.3819711	2851
6/22/2022 4:28:21 PM	192402	19837267	3314	0	0	3.3819711	2851
6/22/2022 4:36:30 PM	192284	19837366	3314	0	0	3.3819711	2851
6/22/2022 4:38:37 PM	192262	19837377	3314	0	0	3.3819711	2851
6/22/2022 4:56:32 PM	192050	19837571	3314	0	0	3.3819711	2851
6/22/2022 5:10:38 PM	191884	19837822	3314	0	0	3.3819711	2851
6/22/2022 5:51:23 PM	191519	19838323	3314	0	0	3.3819711	2851
6/22/2022 6:06:06 PM	191344	19838564	3314	0	0	3.3819711	2851
6/22/2022 6:44:06 PM	191071	19839156	3314	0	0	3.3819711	2851
6/22/2022 6:51:39 PM	191017	19839292	3314	0	0	3.3819711	2851
6/22/2022 6:55:03 PM	191001	19839361	3314	0	0	3.3819711	2851
6/22/2022 7:04:45 PM	190917	19839553	3314	0	0	3.3819711	2851
6/22/2022 7:49:37 PM	190655	19840317	3314	0	0	3.3819711	2851
6/22/2022 8:05:15 PM	190555	19840538	3314	0	0	3.3819711	2851
6/22/2022 8:49:23 PM	190269	19841327	3314	0	0	3.3819711	2851
6/22/2022 9:05:42 PM	190195	19841603	3314	0	0	3.3819711	2851
6/22/2022 9:48:30 PM	190004	19842389	3314	0	0	3.3819711	2851
6/22/2022 10:46:22 PM	189730	19843558	3314	0	0	3.3819711	2851
6/22/2022 10:50:53 PM	189719	19843666	3314	0	0	3.3819711	2851
6/22/2022 11:04:25 PM	189694	19843888	3314	0	0	3.3819711	2851
6/22/2022 11:48:51 PM	189580	19844826	3314	0	0	3.3819711	2851
6/23/2022 12:13:56 AM	189585	19845380	3314	0	0	3.3819711	2851
6/23/2022 1:11:08 AM	189827	19846740	3314	0	0	3.3819711	2851
6/23/2022 2:36:43 AM	190467	19849114	3314	0	0	3.3819711	2851
6/23/2022 3:23:21 AM	190844	19850475	3314	0	0	3.3819711	2851
6/23/2022 4:02:28 AM	191011	19851457	3314	0	0	3.3819711	2851
6/23/2022 4:58:00 AM	191093	19852651	3314	0	0	3.3819711	2851
6/23/2022 5:10:51 AM	191068	19852837	3314	0	0	3.3819711	2851
6/23/2022 5:50:45 AM	190875	19853441	3314	0	0	3.3819711	2851
6/23/2022 6:06:45 AM	190774	19853659	3314	0	0	3.3819711	2851
6/23/2022 6:52:23 AM	190375	19854165	3314	0	0	3.3819711	2851
6/23/2022 7:04:32 AM	190201	19854307	3314	0	0	3.3819711	2851
6/23/2022 7:48:43 AM	189673	19854591	3314	0	0	3.3819711	2851
6/23/2022 8:04:51 AM	189474	19854709	3314	0	0	3.3819711	2851
6/23/2022 8:54:04 AM	188697	19854975	3314	0	0	3.3819711	2851
6/23/2022 9:04:45 AM	188538	19855030	3314	0	0	3.3819711	2851
6/23/2022 9:49:01 AM	187798	19855218	3314	0	0	3.3819711	2851
6/23/2022 10:06:10 AM	187586	19855286	3314	0	0	3.3819711	2851
6/23/2022 10:49:27 AM	186909	19855448	3314	0	0	3.3819711	2851
6/23/2022 11:04:27 AM	186674	19855511	3314	0	0	3.3819711	2851
6/23/2022 11:48:53 AM	185932	19855677	3314	0	0	3.3819711	2851
6/23/2022 12:06:56 PM	185619	19855764	3314	0	0	3.3819711	2851
6/23/2022 1:02:45 PM	184757	19856042	3314	0	0	3.3819711	2851
6/23/2022 1:54:42 PM	184040	19856348	3314	0	0	3.3819711	2851
6/23/2022 2:04:18 PM	183899	19856421	3314	0	0	3.3819711	2851
6/23/2022 2:48:34 PM	183334	19856753	3315	0	0	3.3819711	2851
6/23/2022 3:05:04 PM	183133	19856876	3315	0	0	3.3819711	2851
6/23/2022 3:51:03 PM	182626	19857280	3316	0	0	3.3819711	2851
6/23/2022 4:05:37 PM	182473	19857395	3316	0	0	3.3819711	2851
6/23/2022 4:56:09 PM	181989	19857950	3316	0	0	3.3819711	2851
6/23/2022 5:08:20 PM	181877	19858135	3316	0	0	3.3819711	2851
6/23/2022 5:49:14 PM	181561	19858553	3316	0	0	3.3819711	2851
6/23/2022 6:04:42 PM	181453	19858795	3316	0	0	3.3819711	2851
6/23/2022 6:52:22 PM	181176	19859466	3316	0	0	3.3819711	2851
6/23/2022 7:04:29 PM	181144	19859648	3316	0	0	3.3819711	2851
6/23/2022 7:48:30 PM	180930	19860347	3316	0	0	3.3819711	2851
6/23/2022 8:04:31 PM	180877	19860584	3316	0	0	3.3819711	2851
6/23/2022 8:52:06 PM	180758	19861508	3316	0	0	3.3819711	2851
6/23/2022 9:06:14 PM	180731	19861704	3316	0	0	3.3819711	2851
6/23/2022 9:48:28 PM	180637	19862477	3316	0	0	3.3819711	2851
6/23/2022 10:04:39 PM	180604	19862769	3316	0	0	3.3819711	2851
6/23/2022 10:48:27 PM	180525	19863566	3316	0	0	3.3819711	2851
6/23/2022 11:04:40 PM	180517	19863879	3316	0	0	3.3819711	2851
6/23/2022 11:29:37 PM	180514	19864374	3316	0	0	3.3819711	2851
6/23/2022 11:38:26 PM	180510	19864578	3316	0	0	3.3819711	2851
6/23/2022 11:49:56 PM	180522	19864794	3316	0	0	3.3819711	2851
6/23/2022 11:57:01 PM	180538	19865000	3316	0	0	3.3819711	2851
6/24/2022 12:15:33 AM	180572	19865405	3316	0	0	3.3819711	2851
6/24/2022 1:11:17 AM	180779	19866600	3316	0	0	3.3819711	2851
6/24/2022 3:25:25 AM	181931	19870374	3316	0	0	3.3819711	2851
6/24/2022 4:04:28 AM	182179	19871338	3316	0	0	3.3819711	2851
6/24/2022 5:00:34 AM	182336	19872598	3316	0	0	3.3819711	2851
6/24/2022 5:12:34 AM	182335	19872833	3317	0	0	3.3825386	2852
6/24/2022 5:48:48 AM	182214	19873463	3317	0	0	3.3825386	2852
6/24/2022 6:04:57 AM	182122	19873643	3317	0	0	3.3825386	2852
