SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	233443	26892343	3369	0	0	3.6799722	2881
6/22/2022 3:43:21 AM	233520	26892568	3369	0	0	3.6799722	2881
6/22/2022 3:53:20 AM	233671	26893024	3369	0	0	3.6799722	2881
6/22/2022 3:56:09 AM	233684	26893062	3369	0	0	3.6799722	2881
6/22/2022 4:09:43 AM	233782	26893427	3369	0	0	3.6799722	2881
6/22/2022 4:12:26 AM	233800	26893571	3369	0	0	3.6799722	2881
6/22/2022 4:19:32 AM	233849	26893758	3369	0	0	3.6799722	2881
6/22/2022 4:21:27 AM	233889	26893904	3369	0	0	3.6799722	2881
6/22/2022 4:28:55 AM	233949	26894096	3369	0	0	3.6799722	2881
6/22/2022 4:30:22 AM	233947	26894151	3369	0	0	3.6799722	2881
6/22/2022 4:34:46 AM	234021	26894370	3369	0	0	3.6799722	2881
