SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	266244	27441702	4789	0	0	3.5562897	3784
6/22/2022 3:43:21 AM	266283	27441831	4789	0	0	3.5562897	3784
6/22/2022 3:53:20 AM	266389	27442187	4789	0	0	3.5562897	3784
6/22/2022 3:56:09 AM	266424	27442372	4789	0	0	3.5562897	3784
6/22/2022 4:09:43 AM	266540	27442798	4789	0	0	3.5562897	3784
6/22/2022 4:12:26 AM	266587	27442984	4789	0	0	3.5562897	3784
6/22/2022 4:19:32 AM	266616	27443196	4789	0	0	3.5562897	3784
6/22/2022 4:21:27 AM	266634	27443365	4789	0	0	3.5562897	3784
6/22/2022 4:28:55 AM	266667	27443531	4789	0	0	3.5562897	3784
6/22/2022 4:30:22 AM	266687	27443618	4789	0	0	3.5562897	3784
6/22/2022 4:34:46 AM	266706	27443819	4789	0	0	3.5562897	3784
6/22/2022 4:36:48 AM	266708	27443853	4789	0	0	3.5562897	3784
6/22/2022 4:39:47 AM	266729	27443997	4789	0	0	3.5562897	3784
6/22/2022 5:06:24 AM	266719	27444756	4789	0	0	3.5562897	3784
6/22/2022 5:22:19 AM	266704	27445107	4789	0	0	3.5562897	3784
6/22/2022 6:37:10 AM	266042	27446632	4789	0	0	3.5562897	3784
6/22/2022 6:39:13 AM	265991	27446687	4789	0	0	3.5562897	3784
6/22/2022 6:42:47 AM	265962	27446730	4789	0	0	3.5562897	3784
6/22/2022 6:53:25 AM	265806	27446890	4789	0	0	3.5562897	3784
6/22/2022 7:05:11 AM	265594	27447111	4789	0	0	3.5562897	3784
6/22/2022 7:48:38 AM	264815	27447566	4789	0	0	3.5562897	3784
6/22/2022 8:06:05 AM	264460	27447724	4789	0	0	3.5562897	3784
6/22/2022 8:52:22 AM	263440	27448074	4789	0	0	3.5567882	3786
6/22/2022 9:04:32 AM	263277	27448130	4789	0	0	3.5567882	3786
6/22/2022 9:48:35 AM	262192	27448453	4789	0	0	3.5567882	3786
6/22/2022 10:05:13 AM	261905	27448533	4789	0	0	3.5567882	3786
6/22/2022 10:53:08 AM	260715	27448842	4789	0	0	3.5567882	3786
6/22/2022 11:04:59 AM	260533	27448898	4789	0	0	3.5567882	3786
6/22/2022 11:50:00 AM	259457	27449192	4789	0	0	3.5567882	3786
6/22/2022 12:07:16 PM	259029	27449280	4789	0	0	3.5567882	3786
6/22/2022 1:01:17 PM	257852	27449640	4789	0	0	3.5567882	3786
6/22/2022 1:55:21 PM	256670	27450130	4789	0	0	3.5567882	3786
6/22/2022 2:04:43 PM	256531	27450187	4789	0	0	3.5567882	3786
6/22/2022 2:49:48 PM	255649	27450660	4789	0	0	3.5567882	3786
6/22/2022 3:05:38 PM	255412	27450841	4789	0	0	3.5567882	3786
6/22/2022 3:49:47 PM	254695	27451429	4789	0	0	3.5567882	3786
6/22/2022 4:04:48 PM	254465	27451617	4789	0	0	3.5567882	3786
6/22/2022 4:08:41 PM	254360	27451680	4789	0	0	3.5567882	3786
6/22/2022 4:17:23 PM	254235	27451804	4789	0	0	3.5567882	3786
6/22/2022 4:27:09 PM	254069	27451963	4789	0	0	3.5567882	3786
6/22/2022 4:28:21 PM	254049	27451978	4789	0	0	3.5567882	3786
6/22/2022 4:36:30 PM	253997	27452073	4789	0	0	3.5567882	3786
